adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
False,/dzm6sNpz9UwG208xyGKAJ6e4ybA.jpg,[18],166666,3096 Days,de,3096 Tage,A young Austrian girl is kidnapped and held in captivity for eight years. Based on the real-life case of Natascha Kampusch.,4.7862,/x2bybyGMtyFSVNjFSxeDNu2fnPD.jpg,2013-02-21,False,False,7.388,1005
False,/dNFbrnF0mIBm0rClbfEFWTtsgMP.jpg,"[53, 80, 9648]",65754,The Girl with the Dragon Tattoo,en,The Girl with the Dragon Tattoo,"Disgraced journalist Mikael Blomkvist investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.",11.2914,/8bokS83zGdhaXgN9tjidUKmAftW.jpg,2011-12-14,False,False,7.387,7641
False,/jsIxoKIuH6lLt4Y3NW7Tf1BwcIO.jpg,"[16, 18, 10749]",15080,Only Yesterday,ja,おもひでぽろぽろ,"In lyrical switches between the present and the past, Taeko contemplates the arc of her life, and wonders if she has been true to the dreams of her childhood self.",4.325,/tOSnFE9e82iH3ZAzSTtuOkBsabJ.jpg,1991-07-20,False,False,7.387,1258
False,/4VgyburZo88ocO1aSRFm0i5H5VX.jpg,[35],760,The Mad Adventures of Rabbi Jacob,fr,Les Aventures de Rabbi Jacob,"In this riot of frantic disguises and mistaken identities, Victor Pivert, a blustering, bigoted French factory owner, finds himself taken hostage by Slimane, an Arab rebel leader. The two dress up as rabbis as they try to elude not only assasins from Slimane's country, but also the police, who think Pivert is a murderer. Pivert ends up posing as Rabbi Jacob, a beloved figure who's returned to France for his first visit after 30 years in the United States. Adding to the confusion are Pivert's dentist-wife, who thinks her husband is leaving her for another woman, their daughter, who's about to get married, and a Parisian neighborhood filled with people eager to celebrate the return of Rabbi Jacob.",1.9022,/oYuCFxS2BGCHNGuv9No0GoP2DZf.jpg,1973-10-17,False,False,7.387,1062
False,/4OjoH07cxYQbnGiJzJxto0NUejH.jpg,"[35, 18]",843847,Jerry & Marge Go Large,en,Jerry & Marge Go Large,"The remarkable true story of how retiree Jerry Selbee discovers a mathematical loophole in the Massachusetts lottery and, with the help of his wife, Marge, wins $27 million dollars and uses the money to revive their small Michigan town.",5.0852,/bbBGSm1kjgmZ0O3bPUQIbA0xlKQ.jpg,2022-10-20,False,False,7.386,478
False,/6Az6HzYABUzoPft2576gKP2YUmg.jpg,"[16, 35, 10751, 10749]",673595,"Maggie Simpson in ""Playdate with Destiny""",en,"Maggie Simpson in ""Playdate with Destiny""","When Maggie Simpson is rescued by a cute young baby from playground peril, it's girl meets boy, girl loses boy, guess what happens next?",0.9833,/k6fgOq7wPKujibXGWYlcIBgkcwQ.jpg,2020-02-29,False,False,7.386,367
False,/gESm6yc2MZpSXakgqLF0OlLaRn1.jpg,"[53, 80, 18]",582014,Promising Young Woman,en,Promising Young Woman,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",4.9871,/73QoFJFmUrJfDG2EynFjNc5gJxk.jpg,2020-12-13,False,False,7.386,3735
False,/94x68VYBvHyrt6ewxMKu1UiI05Q.jpg,"[16, 878, 12, 18]",212167,Patema Inverted,ja,サカサマのパテマ,"A young girl, from a civilization that resides in deep underground tunnels, finds herself trapped in an inverted world and teams up with a resident to escape and return home.",2.6685,/esv9BI0s1i2iJBq9Rn2imrAFW5u.jpg,2013-11-09,False,False,7.386,472
False,/afbfZtBOZIfxlzzvHCOfauI6pna.jpg,"[14, 35, 10749]",10849,The Purple Rose of Cairo,en,The Purple Rose of Cairo,"Cecilia is a waitress in New Jersey, living a dreary life during the Great Depression. Her only escape from her mundane reality is the movie theatre. After losing her job, Cecilia goes to see 'The Purple Rose of Cairo' in hopes of raising her spirits, where she watches dashing archaeologist Tom Baxter time and again.",2.0252,/ccsint43E44B7NGceEhVimD93Yt.jpg,1985-03-01,False,False,7.386,1150
False,/yaql2veoJrsw9TH6qbWho7cjG9t.jpg,"[28, 80]",9462,The Way of the Dragon,cn,猛龍過江,"After a Chinese restaurant in Rome is threatened by the mafia, who will stop at nothing to acquire the property, the owner recruits a family friend in Hong Kong, kung fu expert Tang Lung, to help them defend their business.",6.7277,/m7AIITQ624sfldI4SsX4htXPH1f.jpg,1972-12-30,False,False,7.386,1303
